seed,goal_reached,path_length,nodes,loops,time
45581,1,29,176,176,0.00018095970153808594
45582,1,29,179,179,0.0001823902130126953
45583,1,31,160,153,0.00015687942504882812
45585,1,29,179,179,0.0001800060272216797
45586,1,29,175,171,0.00017404556274414062
45587,1,29,180,180,0.00018310546875
45589,1,29,155,152,0.00015878677368164062
45591,1,29,180,180,0.0001850128173828125
45592,1,29,180,180,0.00018739700317382812
45593,1,29,179,178,0.00017905235290527344
45594,1,29,180,180,0.00018548965454101562
45595,1,29,177,177,0.00018215179443359375
45596,1,29,178,178,0.0001819133758544922
45597,1,29,180,180,0.0001900196075439453
45599,1,29,179,179,0.0001842975616455078
45600,1,29,178,178,0.0001838207244873047
45601,1,29,179,179,0.00018525123596191406
45602,1,29,171,170,0.00017690658569335938
45604,1,29,177,175,0.00018024444580078125
45606,1,29,180,180,0.00018358230590820312
45607,1,29,177,177,0.000186920166015625
45608,1,29,179,179,0.00018739700317382812
45609,1,29,177,177,0.00018310546875
45610,1,29,180,180,0.000186920166015625
45611,1,29,179,179,0.0001933574676513672
45612,1,29,180,180,0.0002009868621826172
45613,1,29,179,179,0.0003097057342529297
45614,1,29,180,180,0.00019288063049316406
45615,1,29,175,172,0.00018930435180664062
45616,1,29,180,180,0.00018453598022460938
45617,1,29,180,180,0.0001926422119140625
45618,1,29,180,179,0.00018405914306640625
45619,1,29,180,180,0.00018358230590820312
45620,1,29,179,179,0.00018405914306640625
45621,1,33,177,175,0.0001804828643798828
45623,1,29,177,177,0.000179290771484375
45625,1,29,179,179,0.00018835067749023438
45626,1,29,180,180,0.00018548965454101562
45627,1,29,179,179,0.00018596649169921875
45628,1,29,180,180,0.00018453598022460938
45629,1,29,179,178,0.00018358230590820312
45630,1,29,178,176,0.00018095970153808594
45631,1,29,178,178,0.0001811981201171875
45632,1,29,180,180,0.00018167495727539062
45633,1,29,179,179,0.00018644332885742188
45634,1,29,177,177,0.0001804828643798828
45635,1,29,179,179,0.0001804828643798828
45636,1,29,179,179,0.00019025802612304688
45637,1,29,180,180,0.0001850128173828125
45638,1,29,179,179,0.00018525123596191406
45639,1,29,137,133,0.00013756752014160156
