seed,goal_reached,path_length,nodes,loops,time
601,1,29,178,178,0.0002624988555908203
602,1,29,180,180,0.0002651214599609375
603,1,29,178,178,0.00026488304138183594
604,1,29,179,179,0.00026702880859375
605,1,29,178,178,0.0002639293670654297
606,1,29,177,177,0.0002636909484863281
607,1,29,177,177,0.0002627372741699219
608,1,29,180,180,0.000270843505859375
609,1,29,178,178,0.0002617835998535156
610,1,29,177,177,0.000263214111328125
611,1,29,177,177,0.0002682209014892578
612,1,29,180,180,0.00026726722717285156
614,1,29,178,178,0.000270843505859375
615,1,29,180,180,0.0002646446228027344
617,1,29,180,180,0.0002722740173339844
618,1,29,176,176,0.00026297569274902344
619,1,29,173,173,0.0002582073211669922
620,1,29,174,174,0.00026488304138183594
621,1,29,180,180,0.0002665519714355469
622,1,29,178,178,0.0002644062042236328
623,1,29,180,180,0.0002694129943847656
624,1,29,180,180,0.00027179718017578125
625,1,29,179,179,0.0002689361572265625
627,1,29,179,179,0.00026297569274902344
628,1,29,180,180,0.0002732276916503906
629,1,29,180,180,0.0002663135528564453
630,1,29,180,180,0.00026416778564453125
631,1,29,180,180,0.0002689361572265625
632,1,29,176,176,0.0002613067626953125
633,1,29,177,177,0.00026035308837890625
634,1,29,180,180,0.0002734661102294922
635,1,29,179,179,0.0002627372741699219
638,1,29,178,178,0.00026726722717285156
641,1,29,179,179,0.0002636909484863281
642,1,29,158,158,0.00023412704467773438
643,1,29,180,180,0.00027370452880859375
644,1,29,178,178,0.0002613067626953125
645,1,29,180,180,0.0002636909484863281
646,1,29,180,180,0.00026535987854003906
647,1,29,176,176,0.00025725364685058594
650,1,29,174,174,0.00025773048400878906
651,1,29,180,180,0.0002677440643310547
652,1,29,180,180,0.00027370452880859375
653,1,29,180,180,0.000263214111328125
654,1,29,179,179,0.0002639293670654297
655,1,29,178,178,0.00026798248291015625
656,1,29,179,179,0.00026679039001464844
657,1,29,179,179,0.00026297569274902344
658,1,29,180,180,0.00026702880859375
659,1,29,179,179,0.0002646446228027344
660,1,29,180,180,0.00026488304138183594
661,1,29,179,179,0.0002644062042236328
662,1,29,178,178,0.00026726722717285156
663,1,29,180,180,0.0002727508544921875
664,1,29,178,178,0.0002677440643310547
665,1,29,178,178,0.00026488304138183594
666,1,29,180,180,0.0002734661102294922
667,1,29,180,180,0.00026869773864746094
668,1,29,180,180,0.00026679039001464844
669,1,29,179,179,0.00027298927307128906
670,1,29,178,178,0.0002639293670654297
673,1,29,179,179,0.00026535987854003906
674,1,29,180,180,0.0002696514129638672
675,1,29,180,180,0.000270843505859375
676,1,29,178,178,0.00026488304138183594
677,1,29,180,180,0.0002696514129638672
678,1,29,175,175,0.0002682209014892578
680,1,29,180,180,0.0002682209014892578
681,1,29,169,169,0.0002567768096923828
682,1,29,177,177,0.0002675056457519531
683,1,29,179,179,0.00026702880859375
684,1,29,180,180,0.0002741813659667969
685,1,29,180,180,0.0002663135528564453
686,1,29,180,180,0.0002703666687011719
688,1,29,180,180,0.00026488304138183594
689,1,29,178,178,0.00027298927307128906
690,1,29,177,177,0.00026345252990722656
691,1,29,170,170,0.0002560615539550781
